family,n,inst,p,ceiling,kind,regret_raw,regret_norm
ER(0.5),10,1,1,0.824879,exact,0.036911,0.003895
ER(0.5),10,1,1,0.824879,samp10,0.027363,0.003895
ER(0.5),10,1,1,0.824879,samp3,0.064652,0.003895
ER(0.5),10,1,3,0.92244,exact,0.095989,0.018491
ER(0.5),10,1,3,0.92244,samp10,0.095989,0.0
ER(0.5),10,1,3,0.92244,samp3,0.102433,0.021071
ER(0.5),10,2,1,0.848965,exact,0.034902,0.00688
ER(0.5),10,2,1,0.848965,samp10,0.024179,0.00688
ER(0.5),10,2,1,0.848965,samp3,0.0,0.00688
ER(0.5),10,2,3,0.916175,exact,0.064357,0.0
ER(0.5),10,2,3,0.916175,samp10,0.034855,0.0
ER(0.5),10,2,3,0.916175,samp3,0.001891,0.0
ER(0.25),10,1,1,0.778672,exact,0.014499,0.079887
ER(0.25),10,1,1,0.778672,samp10,0.059624,0.079887
ER(0.25),10,1,1,0.778672,samp3,0.051744,0.01318
ER(0.25),10,1,3,0.868943,exact,0.040823,0.019462
ER(0.25),10,1,3,0.868943,samp10,0.066393,0.007276
ER(0.25),10,1,3,0.868943,samp3,0.167906,0.05281
ER(0.25),10,2,1,0.743534,exact,0.032509,0.075394
ER(0.25),10,2,1,0.743534,samp10,0.032509,0.0
ER(0.25),10,2,1,0.743534,samp3,0.134111,0.0
ER(0.25),10,2,3,0.820896,exact,0.043817,0.03886
ER(0.25),10,2,3,0.820896,samp10,0.054689,0.003093
ER(0.25),10,2,3,0.820896,samp3,0.172279,0.003093
BA(k=2),10,1,1,0.768837,exact,0.014151,0.018525
BA(k=2),10,1,1,0.768837,samp10,0.014151,0.018525
BA(k=2),10,1,1,0.768837,samp3,0.0,0.005055
BA(k=2),10,1,3,0.878841,exact,0.068436,0.048858
BA(k=2),10,1,3,0.878841,samp10,0.068436,0.010381
BA(k=2),10,1,3,0.878841,samp3,0.088517,0.00387
BA(k=2),10,2,1,0.863715,exact,0.025888,0.10226
BA(k=2),10,2,1,0.863715,samp10,0.025888,0.008442
BA(k=2),10,2,1,0.863715,samp3,0.008442,0.0
BA(k=2),10,2,3,0.932859,exact,0.039183,0.0
BA(k=2),10,2,3,0.932859,samp10,0.051055,0.0
BA(k=2),10,2,3,0.932859,samp3,0.054104,0.0
BA(k=4),10,1,1,0.784169,exact,0.030486,0.005485
BA(k=4),10,1,1,0.784169,samp10,0.030486,0.005485
BA(k=4),10,1,1,0.784169,samp3,0.030486,0.0
BA(k=4),10,1,3,0.874302,exact,0.085384,0.011584
BA(k=4),10,1,3,0.874302,samp10,0.041923,0.035354
BA(k=4),10,1,3,0.874302,samp3,0.058712,0.006407
BA(k=4),10,2,1,0.760346,exact,0.040623,0.0
BA(k=4),10,2,1,0.760346,samp10,0.000793,0.0
BA(k=4),10,2,1,0.760346,samp3,0.06362,0.0
BA(k=4),10,2,3,0.860655,exact,0.050852,0.015171
BA(k=4),10,2,3,0.860655,samp10,0.0676,0.015171
BA(k=4),10,2,3,0.860655,samp3,0.162452,0.029568
WS(k=4;b=0.1),10,1,1,0.821642,exact,0.006551,0.0
WS(k=4;b=0.1),10,1,1,0.821642,samp10,0.006551,0.0
WS(k=4;b=0.1),10,1,1,0.821642,samp3,0.04814,0.0
WS(k=4;b=0.1),10,1,3,0.871996,exact,0.027804,0.005613
WS(k=4;b=0.1),10,1,3,0.871996,samp10,0.016914,0.005613
WS(k=4;b=0.1),10,1,3,0.871996,samp3,0.053308,0.014694
WS(k=4;b=0.1),10,2,1,0.886197,exact,0.009332,0.024177
WS(k=4;b=0.1),10,2,1,0.886197,samp10,0.009332,0.0
WS(k=4;b=0.1),10,2,1,0.886197,samp3,0.009332,0.0
WS(k=4;b=0.1),10,2,3,0.944976,exact,0.024764,0.001946
WS(k=4;b=0.1),10,2,3,0.944976,samp10,0.054451,0.001946
WS(k=4;b=0.1),10,2,3,0.944976,samp3,0.033432,0.001946
WS(k=4;b=0.5),10,1,1,0.776434,exact,0.010133,0.017011
WS(k=4;b=0.5),10,1,1,0.776434,samp10,0.010133,0.017011
WS(k=4;b=0.5),10,1,1,0.776434,samp3,0.048971,0.017011
WS(k=4;b=0.5),10,1,3,0.88418,exact,0.060252,0.029669
WS(k=4;b=0.5),10,1,3,0.88418,samp10,0.078147,0.029669
WS(k=4;b=0.5),10,1,3,0.88418,samp3,0.129217,0.0
WS(k=4;b=0.5),10,2,1,0.780224,exact,0.009582,0.022039
WS(k=4;b=0.5),10,2,1,0.780224,samp10,0.062102,0.022039
WS(k=4;b=0.5),10,2,1,0.780224,samp3,0.009582,0.0
WS(k=4;b=0.5),10,2,3,0.880692,exact,0.062084,0.053498
WS(k=4;b=0.5),10,2,3,0.880692,samp10,0.062084,0.008452
WS(k=4;b=0.5),10,2,3,0.880692,samp3,0.078866,0.034346
3-regular,10,1,1,0.817079,exact,0.027529,0.009998
3-regular,10,1,1,0.817079,samp10,0.027529,0.009998
3-regular,10,1,1,0.817079,samp3,0.027529,0.009998
3-regular,10,1,3,0.890044,exact,0.060921,0.021196
3-regular,10,1,3,0.890044,samp10,0.060921,0.055882
3-regular,10,1,3,0.890044,samp3,0.021154,0.003563
3-regular,10,2,1,0.772105,exact,0.03344,0.003989
3-regular,10,2,1,0.772105,samp10,0.03344,0.079008
3-regular,10,2,1,0.772105,samp3,0.03344,0.003989
3-regular,10,2,3,0.887694,exact,0.09335,0.035331
3-regular,10,2,3,0.887694,samp10,0.107359,0.0
3-regular,10,2,3,0.887694,samp3,0.061324,0.035331
